cycle,state,gop_pct_estimate,dem_pct_estimate
2024,Arizona,44.944526249999996,46.22630824742268
2024,California,32.540004,59.35825307692308
2024,Colorado,41.60633333333333,53.03274166666667
2024,Florida,47.783325,44.81186176470588
2024,Georgia,45.89388698347107,46.640639393939395
2024,Indiana,56.0587125,39.24146875
2024,Maine,42.0771125,51.012975000000004
2024,Maine Cd 2,49.25760714285714,43.643317857142854
2024,Maryland,32.926029166666666,61.85670729166667
2024,Massachusetts,33.043735,59.993610000000004
2024,Michigan,43.713607520325205,47.05856941747573
2024,Minnesota,41.9508023255814,49.76324493670886
2024,Missouri,54.06588,41.392326000000004
2024,Montana,56.05763295454546,38.812174999999996
2024,National,43.22440685483871,47.39527428571429
2024,Nebraska,56.36064655172414,38.610120689655176
2024,Nebraska Cd 2,43.16980769230769,51.068785897435895
2024,Nevada,44.386833333333335,46.782221590909096
2024,New Hampshire,44.19383311688312,50.78164285714286
2024,New Mexico,42.147583653846155,49.98845192307692
2024,New York,38.163195384615385,54.22780277777778
2024,North Carolina,45.984636244541484,46.84826976744186
2024,Ohio,49.58368686868687,43.14270948275862
2024,Pennsylvania,44.55644938016529,47.16904797979798
2024,South Carolina,53.874808333333334,41.616625
2024,Texas,47.49889027777778,44.19431119402985
2024,Utah,56.697225,34.582883333333335
2024,Virginia,42.55093582089552,49.97934642857143
2024,Washington,36.4206675,55.561512500000006
2024,Wisconsin,43.78300145833334,47.925698969072165
